Title,Company,Experience,Salary,Location,Skills,Posted,Scraped_At
Data Analyst,Simply Vyapar Apps,0-1 Yrs,,Bengaluru(Bellandur),"SQL Queries, Data Analytics, Problem Solving, Data Visualization, Ab Testing, SQL, Ab, Software testing",2 weeks ago,2026-03-13 22:17
Data Analyst (IoT),Log9 Materials,0-6 Yrs,,Bengaluru,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",3+ weeks ago,2026-03-13 22:17
Data Analyst,Fortune India 500 IT Services Firm,5-9 Yrs,6-12 Lacs PA,Hybrid - Bengaluru,"Postgresql, Hadoop, Splunk, SQL, Data, Data analysis",Few hours ago,2026-03-13 22:17
Data Analyst,Infomerica,6-11 Yrs,,"Chennai, Bengaluru, Mumbai (All Areas)","Cyberark, Power Bi, Data Analyst, Data, Bi, Data analysis",1 day ago,2026-03-13 22:17
Data Analyst,Homelane,1-5 Yrs,,Bengaluru,"python, data analysis, sql queries, bi, power bi, knowledge of sql, google sheets, dashboards",3 days ago,2026-03-13 22:17
Data Analyst,Brandsmashers,3-6 Yrs,3-7.5 Lacs PA,Bhopal,"Data Analytics, SQL, Python, Power Bi, Machine Learning, Analytics, Data, Machine",1 day ago,2026-03-13 22:17
Data Analyst,Colruyt Group India,10-14 Yrs,,Hyderabad,"Power Bi, Data Analytics, Power Query, SQL, Schema, Data Analysis, Data Collection, DAX",1 week ago,2026-03-13 22:17
Data Analyst,Jisha Enterprise,1-5 Yrs,"50,000-3 Lacs PA",Surat(Nana Varachha),"Power Bi, SQL, Python, Tableau, Looker Studio, Data Analytics, Bi, Data analysis",2 weeks ago,2026-03-13 22:17
Data Analyst,Sarvodaya Hospital,2-5 Yrs,,Faridabad,"Advanced Excel, Excel, Power Bi, Data Interpretation, Bi, Data Analysis, Data Visualization, Data Cleansing",1 week ago,2026-03-13 22:17
Data Analyst,Hitachi Energy,3-8 Yrs,,Chennai,"ERP, Automation, Data modeling, Analytical, microsoft, Business intelligence, Continuous improvement, Forecasting",4 days ago,2026-03-13 22:17
Data Analyst,SKD Consultants pvt ltd,2-3 Yrs,2-3 Lacs PA,Nashik(College Road),"Power Bi, Data Analysis, Python Data Analytics, Data Visualization, Advanced Excel, SQL, Analysis, Analytics",2 weeks ago,2026-03-13 22:17
Data Analyst Pharma,Leading Client,1-4 Yrs,,Mumbai,"data analyst, emerging technologies, data analysis tools, data analytics, data analysis, data validation, business intelligence, healthcare",2 weeks ago,2026-03-13 22:17
Data Analyst,CGI,8-10 Yrs,10-20 Lacs PA,Hyderabad,"Data Bricks, Snowflake, Data Analytics, Analytics, Data analysis, Data, Bricks",1 week ago,2026-03-13 22:17
Capex Budget/Data Analyst (Contractual),Engineering Services,3-7 Yrs,,Pithampur,"Data Analytics, Bi, Data Analysis, Capex, Capital Expenditure, Capital Budgeting, Budgeting, Analysis",1 week ago,2026-03-13 22:17
Data Analyst,leading bank,3-8 Yrs,6-11 Lacs PA,Chennai,"VBA, Data Analytics, Tableau, Analytics, Data, Data analysis",2 weeks ago,2026-03-13 22:17
Data Analyst (CC),Bizaccounting Support,3-7 Yrs,,Remote,"Data Analysis, insurance, python, tableau dashboards, azure sql, data pipelines, health insurance, call center",Few hours ago,2026-03-13 22:17
Data Analyst,Amgen Inc,8-13 Yrs,,Hyderabad,"data analyst, salesforce, tableau, project management, service delivery, onboarding, power bi, business analysis",Today,2026-03-13 22:17
Data Analyst,Feuji Software Solutions,8-12 Yrs,,Hybrid - Hyderabad,"Data Analysis, Data Quality, Source-to-Target Mapping, Data Profiling, Data Modeling, Salesforce, Data extraction, Analysis",Today,2026-03-13 22:17
Data Analyst,Teckvalley India,2-7 Yrs,,Kolkata,"Project management, data governance, power bi, Data quality, data integrity, Data Analyst, data visualization, Stakeholder management",Few hours ago,2026-03-13 22:17
Data Analyst,Aeries Technology,3-8 Yrs,,Pune,"Automation, Business Analyst, Financial analysis, Project management, Analytical, Consulting, Continuous improvement, Stakeholder management",Few hours ago,2026-03-13 22:17
Data Analyst,Payoneer,1-3 Yrs,,Gurugram,"python, data analysis, sql queries, data validation, bi, data processing, power bi, business analysis",Today,2026-03-13 22:17
Data Analyst(Tableau) - Night Shift,Lumina Datamatics,2-5 Yrs,10-12 Lacs PA,Mumbai(Andheri East +1),"Cte, Tableau, Advance Sql, Data, SQL, Data analysis",Today,2026-03-13 22:17
Data Analyst,Inficore Soft,2-4 Yrs,,Patna,"Data Analyst, Data analysis, Data",2 days ago,2026-03-13 22:17
Data Analyst I,Syneos Health,2-4 Yrs,,Hyderabad,"Data analysis, Automation, Analytical, Data quality, Operations, CRM, Recruitment, SQL",2 days ago,2026-03-13 22:17
Data Analyst,Csk Technologies,1-4 Yrs,,Noida,"Data analysis, Excel, Analytical, Data collection, data visualization, Digital marketing, Operations, CRM",2 days ago,2026-03-13 22:17
Data Analyst,Algoleap Technologies,5-10 Yrs,,Hyderabad,"digital analytics, design, google analytics, engineering, tracking, communication skills, sql, Analytics",2 days ago,2026-03-13 22:17
Data Analyst (Deployment),Legistify,0-2 Yrs,,Gurugram,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago,2026-03-13 22:17
Data Analyst,Legistify,0-1 Yrs,,Gurugram,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago,2026-03-13 22:17
Data Analyst,Ebizneeds (India) Internet Solutions Pvt. Ltd,0-3 Yrs,,Jaipur,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago,2026-03-13 22:17
Data analyst,Inginit,0-3 Yrs,,Mumbai,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago,2026-03-13 22:17
Data Analyst,dt,2-6 Yrs,3-5 Lacs PA,Hyderabad,"Excellent Communication In English, Etl Process, Advanced Excel, Tableau, SQL, Excellent Verbal And Written Communication Skills, Power Bi, Power Query",2 days ago,2026-03-13 22:17
Data Analyst (Location - All Over India),Fortune India 500 IT Services Firm,6-10 Yrs,,Hybrid - Mumbai,"Python, Bigquery, Snowflake, SCALA, Tableau, Domo, SQL, Data analysis",Few hours ago,2026-03-13 22:17
